epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,100.331,1.91514,2.08544,0.0033,0.57483,0.5308,0.53554,0.32145,1.7469,1.31352,0.00414,0.0132533,0.00441776,0.0132533,0.00441776,0.080012,0.0711765,0.0132533,0.00441776
2,179.573,1.91339,1.3604,0.00327,0.61686,0.61492,0.58553,0.35309,1.76724,1.10386,0.00428,0.026456,0.00881866,0.026456,0.00881866,0.0598814,0.0422441,0.026456,0.00881866
3,260.34,1.91906,1.24434,0.00324,0.67265,0.64489,0.64002,0.38188,1.75697,1.04495,0.00439,0.0395713,0.0131904,0.0395713,0.0131904,0.0396634,0.0132825,0.0395713,0.0131904
4,338.964,1.89291,1.16689,0.00324,0.72463,0.64997,0.66649,0.40295,1.76201,0.96586,0.00421,0.0394766,0.0131589,0.0394766,0.0131589,0.0394766,0.0131589,0.0394766,0.0131589
5,417.199,1.90552,1.12175,0.00328,0.70248,0.64552,0.66624,0.39781,1.70395,0.9137,0.00408,0.0393455,0.0131152,0.0393455,0.0131152,0.0393455,0.0131152,0.0393455,0.0131152
6,495.402,1.88579,1.0766,0.0032,0.66978,0.6743,0.67633,0.4091,1.71508,0.91434,0.00417,0.0392144,0.0130715,0.0392144,0.0130715,0.0392144,0.0130715,0.0392144,0.0130715
7,573.536,1.89505,1.06622,0.0032,0.68546,0.63331,0.66294,0.40265,1.70233,0.9352,0.00409,0.0390833,0.0130278,0.0390833,0.0130278,0.0390833,0.0130278,0.0390833,0.0130278
8,652.273,1.89361,1.04014,0.00321,0.6956,0.68708,0.69245,0.42741,1.69359,0.87474,0.00406,0.0389521,0.012984,0.0389521,0.012984,0.0389521,0.012984,0.0389521,0.012984
9,730.746,1.8661,1.01855,0.0032,0.70255,0.69285,0.68384,0.42299,1.68423,0.87309,0.004,0.038821,0.0129403,0.038821,0.0129403,0.038821,0.0129403,0.038821,0.0129403
10,808.807,1.87136,1.02481,0.00311,0.68359,0.68047,0.68219,0.41202,1.69682,0.89631,0.00415,0.0386899,0.0128966,0.0386899,0.0128966,0.0386899,0.0128966,0.0386899,0.0128966
11,886.91,1.85716,1.0162,0.00309,0.65879,0.69963,0.69237,0.42725,1.67017,0.86852,0.00398,0.0385588,0.0128529,0.0385588,0.0128529,0.0385588,0.0128529,0.0385588,0.0128529
12,965.389,1.8715,1.03103,0.00311,0.66649,0.72846,0.69115,0.43207,1.65847,0.85938,0.004,0.0384276,0.0128092,0.0384276,0.0128092,0.0384276,0.0128092,0.0384276,0.0128092
13,1043.78,1.85919,0.99049,0.00309,0.69606,0.6589,0.69074,0.42991,1.66497,0.84757,0.00393,0.0382965,0.0127655,0.0382965,0.0127655,0.0382965,0.0127655,0.0382965,0.0127655
14,1121.95,1.85351,1.00301,0.00304,0.70763,0.69283,0.69961,0.43643,1.62904,0.85003,0.0039,0.0381654,0.0127218,0.0381654,0.0127218,0.0381654,0.0127218,0.0381654,0.0127218
15,1200.02,1.85289,0.9858,0.00305,0.68052,0.67686,0.68802,0.43209,1.6252,0.85964,0.00386,0.0380343,0.0126781,0.0380343,0.0126781,0.0380343,0.0126781,0.0380343,0.0126781
16,1278.06,1.83555,0.98289,0.00302,0.67964,0.69365,0.70455,0.43558,1.63474,0.85309,0.00387,0.0379032,0.0126344,0.0379032,0.0126344,0.0379032,0.0126344,0.0379032,0.0126344
17,1356.59,1.84261,0.98488,0.003,0.66914,0.70622,0.68903,0.42721,1.64589,0.8725,0.00396,0.037772,0.0125907,0.037772,0.0125907,0.037772,0.0125907,0.037772,0.0125907
