epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3349.72,1.45014,0.68508,0.00206,0.75985,0.81398,0.79744,0.54155,1.35927,0.62676,0.00278,0.00360674,0.00120225,0.00360674,0.00120225,0.00360674,0.00120225,0.00360674,0.00120225
31,3457,1.46685,0.70026,0.00207,0.76781,0.81304,0.80216,0.55043,1.34732,0.63397,0.00275,0.00359363,0.00119788,0.00359363,0.00119788,0.00359363,0.00119788,0.00359363,0.00119788
32,3565.8,1.46588,0.69458,0.00208,0.74502,0.82404,0.80205,0.54952,1.34438,0.63557,0.00275,0.00358052,0.00119351,0.00358052,0.00119351,0.00358052,0.00119351,0.00358052,0.00119351
33,3676.09,1.45298,0.69896,0.00205,0.78347,0.79686,0.79598,0.54779,1.3482,0.6383,0.00276,0.00356741,0.00118914,0.00356741,0.00118914,0.00356741,0.00118914,0.00356741,0.00118914
34,3786.78,1.4381,0.69149,0.00201,0.79403,0.80234,0.80956,0.55299,1.33304,0.63193,0.00273,0.00355429,0.00118476,0.00355429,0.00118476,0.00355429,0.00118476,0.00355429,0.00118476
35,3895.23,1.42284,0.6672,0.00201,0.74631,0.82614,0.79978,0.55112,1.33016,0.63795,0.00272,0.00354118,0.00118039,0.00354118,0.00118039,0.00354118,0.00118039,0.00354118,0.00118039
36,4003.19,1.44199,0.68271,0.00198,0.73956,0.84557,0.79517,0.54534,1.32521,0.63019,0.00273,0.00352807,0.00117602,0.00352807,0.00117602,0.00352807,0.00117602,0.00352807,0.00117602
37,4111.66,1.42065,0.67091,0.00204,0.75563,0.83739,0.80302,0.5469,1.33919,0.63131,0.00273,0.00351496,0.00117165,0.00351496,0.00117165,0.00351496,0.00117165,0.00351496,0.00117165
38,4220.06,1.42068,0.68009,0.00202,0.73915,0.83715,0.81376,0.55617,1.31856,0.62595,0.00272,0.00350184,0.00116728,0.00350184,0.00116728,0.00350184,0.00116728,0.00350184,0.00116728
39,4328.69,1.41777,0.66219,0.00201,0.74601,0.84208,0.80468,0.55559,1.32797,0.63008,0.00271,0.00348873,0.00116291,0.00348873,0.00116291,0.00348873,0.00116291,0.00348873,0.00116291
40,4437.08,1.41067,0.66004,0.00198,0.77275,0.82399,0.80795,0.55423,1.32941,0.62558,0.00271,0.00347562,0.00115854,0.00347562,0.00115854,0.00347562,0.00115854,0.00347562,0.00115854
41,4544.69,1.40268,0.66193,0.00194,0.75869,0.82304,0.80256,0.55346,1.33001,0.63176,0.0027,0.00346251,0.00115417,0.00346251,0.00115417,0.00346251,0.00115417,0.00346251,0.00115417
